,batsman,playing_team,total_runs,total_balls_faced,strike_rate,dismissals
211,BCJ Cutting,Mumbai Indians,114,76,1.0,6
212,BCJ Cutting,Rajasthan Royals,8,6,1.0,0
213,BCJ Cutting,Sunrisers Hyderabad,116,64,1.0,4
214,BE Hendricks,Kings XI Punjab,1,3,0.0,1
215,Bipul Sharma,Kings XI Punjab,104,72,1.0,3
216,Bipul Sharma,Sunrisers Hyderabad,83,52,1.0,3
217,BJ Haddin,Kolkata Knight Riders,18,11,1.0,1
218,BJ Hodge,Kochi Tuskers Kerala,285,245,1.0,8
219,BJ Hodge,Kolkata Knight Riders,476,430,1.0,15
220,BJ Hodge,Rajasthan Royals,639,478,1.0,18
221,BJ Rohrer,Delhi Daredevils,193,146,1.0,7
222,BMAJ Mendis,Delhi Daredevils,23,27,0.0,3
223,BR Dunk,Mumbai Indians,40,36,1.0,3
224,BR Sharath,Gujarat Titans,2,5,0.0,1
225,C de Grandhomme,Kolkata Knight Riders,126,92,1.0,8
226,C de Grandhomme,Royal Challengers Bangalore,177,137,1.0,6
227,C Green,Mumbai Indians,452,287,1.0,9
228,C Green,Royal Challengers Bengaluru,255,185,1.0,8
229,C Madan,Mumbai Indians,15,21,0.0,1
230,C Munro,Delhi Capitals,84,72,1.0,4
231,C Munro,Delhi Daredevils,63,41,1.0,4
232,C Munro,Kolkata Knight Riders,30,31,0.0,1
233,C Nanda,Mumbai Indians,0,1,0.0,1
234,C Sakariya,Delhi Capitals,4,6,0.0,1
235,C Sakariya,Rajasthan Royals,16,25,0.0,4
236,CA Ingram,Delhi Capitals,184,157,1.0,10
237,CA Ingram,Delhi Daredevils,21,26,0.0,2
238,CA Lynn,Deccan Chargers,6,10,0.0,1
239,CA Lynn,Kolkata Knight Riders,1274,928,1.0,36
240,CA Lynn,Mumbai Indians,49,36,1.0,1
241,CA Pujara,Kings XI Punjab,125,129,0.0,4
242,CA Pujara,Kolkata Knight Riders,122,119,1.0,4
243,CA Pujara,Royal Challengers Bangalore,143,155,0.0,10
244,CH Gayle,Kings XI Punjab,1153,824,1.0,27
245,CH Gayle,Kolkata Knight Riders,476,356,1.0,16
246,CH Gayle,Punjab Kings,193,160,1.0,9
247,CH Gayle,Royal Challengers Bangalore,3175,2176,1.0,73
248,CH Morris,Chennai Super Kings,14,17,0.0,2
249,CH Morris,Delhi Capitals,32,38,0.0,6
250,CH Morris,Delhi Daredevils,395,237,1.0,9
251,CH Morris,Rajasthan Royals,143,100,1.0,7
252,CH Morris,Royal Challengers Bangalore,34,21,1.0,4
253,CJ Anderson,Delhi Daredevils,142,130,1.0,7
254,CJ Anderson,Mumbai Indians,379,284,1.0,12
255,CJ Anderson,Royal Challengers Bangalore,17,22,0.0,3
256,CJ Ferguson,Pune Warriors,98,119,0.0,6
257,CJ Jordan,Chennai Super Kings,11,9,1.0,1
258,CJ Jordan,Kings XI Punjab,29,33,0.0,3
259,CJ Jordan,Mumbai Indians,6,13,0.0,2
260,CJ Jordan,Punjab Kings,32,21,1.0,2
261,CJ Jordan,Royal Challengers Bangalore,3,4,0.0,0
262,CJ Jordan,Sunrisers Hyderabad,0,1,0.0,1
263,CJ McKay,Mumbai Indians,8,15,0.0,1
264,CK Kapugedera,Chennai Super Kings,16,24,0.0,3
265,CK Langeveldt,Kolkata Knight Riders,0,1,0.0,1
266,CK Langeveldt,Royal Challengers Bangalore,8,8,1.0,1
267,CL White,Deccan Chargers,583,436,1.0,15
268,CL White,Royal Challengers Bangalore,162,138,1.0,7
269,CL White,Sunrisers Hyderabad,226,200,1.0,12
270,CM Gautam,Delhi Daredevils,48,42,1.0,3
271,CM Gautam,Mumbai Indians,121,116,1.0,6
272,CR Brathwaite,Delhi Daredevils,95,56,1.0,8
273,CR Brathwaite,Kolkata Knight Riders,11,10,1.0,2
274,CR Brathwaite,Sunrisers Hyderabad,75,54,1.0,3
275,CR Woakes,Delhi Capitals,15,11,1.0,0
276,CR Woakes,Kolkata Knight Riders,46,47,0.0,3
277,CR Woakes,Royal Challengers Bangalore,17,19,0.0,2
278,CRD Fernando,Mumbai Indians,4,3,1.0,0
279,CV Varun,Kolkata Knight Riders,25,49,0.0,2
280,D Brevis,Chennai Super Kings,42,25,1.0,1
281,D Brevis,Mumbai Indians,230,176,1.0,10
282,D du Preez,Royal Challengers Bangalore,10,13,0.0,1
283,D Ferreira,Delhi Capitals,1,3,0.0,1
284,D Ferreira,Rajasthan Royals,8,11,0.0,2
285,D Kalyankrishna,Deccan Chargers,3,8,0.0,1
286,D Padikkal,Lucknow Super Giants,38,60,0.0,7
287,D Padikkal,Rajasthan Royals,637,523,1.0,27
288,D Padikkal,Royal Challengers Bangalore,884,740,1.0,27
289,D Padikkal,Royal Challengers Bengaluru,230,155,1.0,7
290,D Pretorius,Chennai Super Kings,44,28,1.0,4
291,D Salunkhe,Rajasthan Royals,33,24,1.0,1
292,D Wiese,Kolkata Knight Riders,21,11,1.0,1
293,D Wiese,Royal Challengers Bangalore,127,94,1.0,4
294,DA Miller,Gujarat Titans,950,681,1.0,21
295,DA Miller,Kings XI Punjab,1850,1375,1.0,53
296,DA Miller,Lucknow Super Giants,118,99,1.0,3
297,DA Miller,Rajasthan Royals,124,115,1.0,5
298,DA Warner,Delhi Capitals,1116,837,1.0,30
299,DA Warner,Delhi Daredevils,1435,1107,1.0,50
300,DA Warner,Sunrisers Hyderabad,4016,2905,1.0,78
301,DAJ Bracewell,Delhi Daredevils,12,9,1.0,0
302,DB Das,Kolkata Knight Riders,304,267,1.0,12
303,DB Ravi Teja,Deccan Chargers,361,307,1.0,18
304,DB Ravi Teja,Sunrisers Hyderabad,14,18,0.0,1
305,DE Bollinger,Chennai Super Kings,21,23,0.0,1
306,DG Nalkande,Gujarat Titans,12,12,1.0,2
307,DH Yagnik,Rajasthan Royals,170,142,1.0,9
308,Dhruv Jurel,Rajasthan Royals,585,400,1.0,19
