batsman,batsman_runs,average,strike_rate,best_score,basra,report_date
M Manhas,514,22.347826086956523,109.36170212765956,42,131.70952821461609,2025-04-27
RR Raje,20,20.0,111.11111111111111,11,131.11111111111111,2025-04-27
KV Sharma,317,15.095238095238097,115.69343065693432,39,130.7886687521724,2025-04-27
Y Gnaneswara Rao,19,19.0,111.76470588235294,19,130.76470588235293,2025-04-27
LR Shukla,405,15.0,115.71428571428572,48,130.71428571428572,2025-04-27
Y Nagar,285,20.357142857142858,110.03861003861005,44,130.3957528957529,2025-04-27
B Chipli,280,18.666666666666668,111.55378486055776,61,130.2204515272244,2025-04-27
JO Holder,38,7.6,122.58064516129032,16,130.18064516129033,2025-04-27
B Sumanth,35,35.0,94.5945945945946,16,129.59459459459458,2025-04-27
CM Gautam,169,16.9,112.66666666666669,33,129.5666666666667,2025-04-27
T Taibu,31,10.333333333333334,119.23076923076924,15,129.56410256410257,2025-04-27
Joginder Sharma,36,9.0,120.0,16,129.0,2025-04-27
MD Mishra,237,14.8125,113.9423076923077,41,128.75480769230768,2025-04-27
Basil Thampi,28,28.0,100.0,13,128.0,2025-04-27
Rashid Khan,11,5.5,122.22222222222224,6,127.72222222222224,2025-04-27
BR Dunk,40,13.333333333333334,114.28571428571428,20,127.6190476190476,2025-04-27
RE Levi,83,13.833333333333334,113.69863013698632,50,127.53196347031965,2025-04-27
RE van der Merwe,159,14.454545454545457,112.7659574468085,35,127.22050290135395,2025-04-27
RR Powar,67,22.33333333333333,104.6875,28,127.02083333333333,2025-04-27
J Syed Mohammad,29,14.5,111.53846153846156,13,126.03846153846156,2025-04-27
VH Zol,29,14.5,111.53846153846156,16,126.03846153846156,2025-04-27
DM Bravo,6,6.0,120.0,6,126.0,2025-04-27
PP Chawla,515,12.261904761904765,113.68653421633556,24,125.94843897824032,2025-04-27
SD Chitnis,99,14.142857142857142,111.23595505617978,38,125.37881219903691,2025-04-27
SB Jakati,28,28.0,96.55172413793105,13,124.55172413793105,2025-04-27
FY Fazal,183,18.3,105.78034682080926,45,124.08034682080925,2025-04-27
W Jaffer,130,16.25,107.43801652892562,50,123.68801652892562,2025-04-27
Shoaib Malik,52,13.0,110.63829787234044,24,123.63829787234044,2025-04-27
R Vinay Kumar,304,10.857142857142858,112.1771217712177,26,123.03426462836056,2025-04-27
SA Abbott,15,7.5,115.38461538461536,14,122.88461538461536,2025-04-27
DL Vettori,121,15.125,107.07964601769912,29,122.20464601769912,2025-04-27
JJ van der Wath,18,9.0,112.5,14,121.5,2025-04-27
JM Kemp,26,13.0,108.33333333333331,22,121.33333333333331,2025-04-27
KAJ Roach,10,10.0,111.11111111111111,10,121.11111111111111,2025-04-27
MA Khote,24,12.0,109.09090909090908,9,121.09090909090908,2025-04-27
WPUJC Vaas,81,10.125,110.95890410958904,20,121.08390410958904,2025-04-27
AB Barath,42,21.0,100.0,33,121.0,2025-04-27
M Kartik,113,16.142857142857142,104.62962962962963,21,120.77248677248677,2025-04-27
MJ Clarke,98,16.333333333333332,104.25531914893618,41,120.58865248226951,2025-04-27
VVS Laxman,282,14.842105263157896,105.61797752808988,52,120.46008279124777,2025-04-27
CA Pujara,390,20.526315789473685,99.74424552429667,51,120.27056131377036,2025-04-27
AA Jhunjhunwala,217,16.692307692307693,103.33333333333334,53,120.02564102564104,2025-04-27
PA Reddy,164,16.4,102.5,42,118.9,2025-04-27
S Aravind,59,14.75,103.50877192982458,14,118.25877192982458,2025-04-27
R Bishnoi,19,6.333333333333333,111.76470588235294,18,118.09803921568627,2025-04-27
M Kaif,259,14.38888888888889,103.6,34,117.98888888888888,2025-04-27
UT Yadav,94,13.428571428571429,104.44444444444446,24,117.87301587301589,2025-04-27
MM Sharma,112,8.0,109.80392156862746,21,117.80392156862746,2025-04-27
RJ Peterson,32,10.666666666666666,106.66666666666669,16,117.33333333333336,2025-04-27
P Kumar,340,8.947368421052632,108.28025477707006,34,117.22762319812269,2025-04-27
SB Styris,131,18.714285714285715,98.49624060150376,36,117.21052631578948,2025-04-27
RJ Quiney,103,14.714285714285714,100.98039215686272,51,115.69467787114843,2025-04-27
RR Sarwan,73,18.25,97.33333333333334,31,115.58333333333334,2025-04-27
MC Juneja,125,17.857142857142858,97.65625,49,115.51339285714286,2025-04-27
AC Thomas,20,10.0,105.26315789473684,12,115.26315789473684,2025-04-27
AA Chavan,12,6.0,109.09090909090908,7,115.09090909090908,2025-04-27
UBT Chand,300,15.0,100.0,58,115.0,2025-04-27
F Behardien,14,7.0,107.6923076923077,9,114.6923076923077,2025-04-27
MDKJ Perera,14,7.0,107.6923076923077,14,114.6923076923077,2025-04-27
RR Rossouw,53,10.6,103.921568627451,24,114.52156862745099,2025-04-27
RJ Harris,117,9.75,104.46428571428572,17,114.21428571428572,2025-04-27
N Saini,140,14.0,99.29078014184395,50,113.29078014184395,2025-04-27
M Klinger,73,18.25,94.8051948051948,29,113.0551948051948,2025-04-27
R McLaren,159,19.875,92.98245614035088,51,112.85745614035088,2025-04-27
DW Steyn,166,7.545454545454546,105.0632911392405,19,112.60874568469505,2025-04-27
PR Shah,92,11.5,101.0989010989011,29,112.5989010989011,2025-04-27
DE Bollinger,21,21.0,91.30434782608695,16,112.30434782608695,2025-04-27
R Rampaul,51,10.2,102.0,23,112.2,2025-04-27
SP Goswami,241,16.066666666666666,96.01593625498008,52,112.08260292164674,2025-04-27
AR Bawne,12,12.0,100.0,12,112.0,2025-04-27
MA Starc,96,13.714285714285714,97.95918367346938,29,111.67346938775509,2025-04-27
JDP Oram,106,13.25,98.14814814814817,41,111.39814814814817,2025-04-27
Anirudh Singh,63,15.75,95.45454545454544,40,111.20454545454544,2025-04-27
NM Coulter-Nile,52,6.5,104.0,9,110.5,2025-04-27
MG Johnson,151,11.615384615384617,98.69281045751634,16,110.30819507290096,2025-04-27
KB Arun Karthik,51,10.2,100.0,19,110.2,2025-04-27
